Año,Periodo,Partida,Subpartida,Grupo_id,Grupo,SubGrupo_id,SubGrupo,Cuenta_id,Cuenta,Subcuenta_id,Subcuenta,Valor
2023,Anual,ACTIVO,Activo No Corriente,I,Inmovilizado intangible,5,Aplicaciones informáticas,206,Aplicaciones informáticas,20600001,CASH LESS DESARROLLO SOFTWARE,394176.0
2023,Anual,ACTIVO,Activo No Corriente,I,Inmovilizado intangible,5,Aplicaciones informáticas,2806,Amortización acumulada de aplicaciones informáticas,28060001,AMORTACUMCASH LESS,-363721.44
2023,Anual,ACTIVO,Activo No Corriente,II,Inmovilizado material,2,Instalaciones técnicas y otro inmovilizado material,216,Mobiliario,21600001,5 ASIENTOS RECLINABLES,905.0
2023,Anual,ACTIVO,Activo No Corriente,II,Inmovilizado material,2,Instalaciones técnicas y otro inmovilizado material,216,Mobiliario,21600002,5 MESAS OFICINA LINEAL,582.0
2023,Anual,ACTIVO,Activo No Corriente,II,Inmovilizado material,2,Instalaciones técnicas y otro inmovilizado material,216,Mobiliario,21600003,5 CAJONERAS RODANTES,524.0
2023,Anual,ACTIVO,Activo No Corriente,II,Inmovilizado material,2,Instalaciones técnicas y otro inmovilizado material,216,Mobiliario,21600004,4 ARCHIVADORES VERTICALES,801.0
2023,Anual,ACTIVO,Activo No Corriente,II,Inmovilizado material,2,Instalaciones técnicas y otro inmovilizado material,216,Mobiliario,21600005,6 ARCHIVADORES METALICOS,827.0
2023,Anual,ACTIVO,Activo No Corriente,II,Inmovilizado material,2,Instalaciones técnicas y otro inmovilizado material,216,Mobiliario,21600006,2 ARMARIOS ALTOS DE PUERTAS,384.0
2023,Anual,ACTIVO,Activo No Corriente,II,Inmovilizado material,2,Instalaciones técnicas y otro inmovilizado material,216,Mobiliario,21600007,4 PUF REDONDO O CUADRADO,610.07
2023,Anual,ACTIVO,Activo No Corriente,II,Inmovilizado material,2,Instalaciones técnicas y otro inmovilizado material,216,Mobiliario,21600008,MESA DE JUNTAS DE MEDIDAS 200X120 SOBRE LAMINADO Y PIES METALICOS,543.4
2023,Anual,ACTIVO,Activo No Corriente,II,Inmovilizado material,2,Instalaciones técnicas y otro inmovilizado material,216,Mobiliario,21600009,2 CONJUNTO DE 4 MESAS DE MEDIDAS 120120,1448.3
2023,Anual,ACTIVO,Activo No Corriente,II,Inmovilizado material,2,Instalaciones técnicas y otro inmovilizado material,216,Mobiliario,21600010,MESA DE 120X80 SOBRE LAMINADOS Y PIES METALICOS,368.6
2023,Anual,ACTIVO,Activo No Corriente,II,Inmovilizado material,2,Instalaciones técnicas y otro inmovilizado material,216,Mobiliario,21600011,2 MESAS ALTAS DE MEDIDAS 120X80X105 SOBRE LAMINADO Y PIES METALICOS,729.7
2023,Anual,ACTIVO,Activo No Corriente,II,Inmovilizado material,2,Instalaciones técnicas y otro inmovilizado material,216,Mobiliario,21600012,6 SILLONES GIRATORIOS EN ACERO CROMADO,632.0
2023,Anual,ACTIVO,Activo No Corriente,II,Inmovilizado material,2,Instalaciones técnicas y otro inmovilizado material,216,Mobiliario,21600013,4 TABURETES REDONDOS EN ACERO CROMADO,579.6
2023,Anual,ACTIVO,Activo No Corriente,II,Inmovilizado material,2,Instalaciones técnicas y otro inmovilizado material,216,Mobiliario,21600014,9 SILLAS DE OFICINA TAPIZADO TRANSPIRABLE EDICION OSCURA,1117.9
2023,Anual,ACTIVO,Activo No Corriente,II,Inmovilizado material,2,Instalaciones técnicas y otro inmovilizado material,216,Mobiliario,21600015,4 MESAS DE 120X80 SOBRE LAMINADO Y PIES METALICOS,1028.4
2023,Anual,ACTIVO,Activo No Corriente,II,Inmovilizado material,2,Instalaciones técnicas y otro inmovilizado material,216,Mobiliario,21600016,4 SILLAS DE OFICINA TAPIZADO TRANSPIRABLE EDICION OSCURA,579.6
2023,Anual,ACTIVO,Activo No Corriente,II,Inmovilizado material,2,Instalaciones técnicas y otro inmovilizado material,217,Equipos para procesos de información,21700001,AMORT DE PORTATIL PREMIUM ULTRALIGERO P_RLH,2713.3
